start_block,end_block,total_transactions,blocks_in_period,avg_tx_per_block
430000,431007,1492605,1008,1480.7589285714287
431008,432015,1436559,1008,1425.157738095238
432016,433023,1608428,1008,1595.6626984126983
433024,434031,1667956,1008,1654.718253968254
434032,435039,1671844,1008,1658.5753968253969
435040,436047,1627245,1008,1614.330357142857
436048,437055,1674041,1008,1660.7549603174602
437056,438063,1799280,1008,1785.0
438064,439071,1588040,1008,1575.436507936508
439072,440079,1862716,1008,1847.9325396825398
440080,441087,1915714,1008,1900.5099206349207
441088,442095,1868159,1008,1853.3323412698412
442096,443103,1755067,1008,1741.1378968253969
443104,444111,1885288,1008,1870.3253968253969
444112,445119,1880598,1008,1865.672619047619
445120,446127,1775123,1008,1761.0347222222222
446128,447135,1976709,1008,1961.0208333333333
447136,448143,1806075,1008,1791.7410714285713
448144,449151,1685194,1008,1671.8194444444443
449152,450159,1737544,1008,1723.7539682539682
450160,451167,1716325,1008,1702.703373015873
451168,452175,1999324,1008,1983.4563492063492
452176,453183,1909836,1008,1894.6785714285713
453184,454191,1980453,1008,1964.735119047619
454192,455199,1990947,1008,1975.1458333333333
455200,456207,2100348,1008,2083.6785714285716
456208,457215,1918211,1008,1902.9871031746031
457216,458223,1926633,1008,1911.342261904762
458224,459231,1777516,1008,1763.4087301587301
459232,460239,1814089,1008,1799.6914682539682
460240,461247,1830168,1008,1815.642857142857
461248,462255,1835621,1008,1821.0525793650793
462256,463263,1938638,1008,1923.251984126984
463264,464271,2078082,1008,2061.589285714286
464272,465279,2082766,1008,2066.2361111111113
465280,466287,2119040,1008,2102.222222222222
466288,467295,2028992,1008,2012.888888888889
467296,468303,2218444,1008,2200.8373015873017
468304,469311,1971665,1008,1956.016865079365
469312,470319,1818651,1008,1804.217261904762
470320,471327,1875939,1008,1861.0505952380952
471328,472335,1807597,1008,1793.250992063492
472336,473343,1748120,1008,1734.2460317460318
473344,474351,1503711,1008,1491.7767857142858
474352,475359,1476485,1008,1464.766865079365
475360,476367,1534678,1008,1522.498015873016
476368,477375,1462539,1008,1450.9315476190477
477376,478383,1510354,1008,1498.3670634920634
478384,479391,1355558,1008,1344.7996031746031
479392,480399,1828705,1008,1814.1914682539682
480400,481407,1947203,1008,1931.749007936508
481408,482415,1976497,1008,1960.810515873016
