start_block,end_block,total_candidate_outputs,pruned_outputs,matching_pairs,outputs_with_match
430000,431007,421956,338361,5150976,179794
431008,432015,356391,286435,3762939,161101
432016,433023,336615,275895,3481262,173340
433024,434031,381906,306366,4207221,187481
434032,435039,373423,287795,5013815,198046
435040,436047,318692,280950,3234992,192118
436048,437055,290311,258986,2052655,167048
437056,438063,345456,305059,4893637,217506
438064,439071,280599,250885,2458768,163326
439072,440079,406475,363390,10761418,265411
440080,441087,378842,340525,5075271,233137
441088,442095,350473,291684,5790968,204752
442096,443103,292651,238736,2419018,160715
443104,444111,316748,277984,4032791,197847
444112,445119,338752,289144,3889501,199769
445120,446127,348108,306543,4032495,210428
446128,447135,441768,384842,5932496,263579
447136,448143,463418,404704,5910344,271459
448144,449151,359985,319832,4182678,209755
449152,450159,374563,336909,4245842,221455
450160,451167,407259,352908,6008560,242954
451168,452175,571897,489840,13356197,340252
452176,453183,534106,454426,11496046,305495
453184,454191,595260,512966,14069388,354125
454192,455199,604339,511649,13774429,356408
455200,456207,634204,535024,13112309,349136
456208,457215,475662,401178,9310300,271956
457216,458223,523075,443062,9263020,303613
458224,459231,427574,345266,5102172,234824
459232,460239,427948,328204,4987289,221335
460240,461247,443610,336876,6415878,240578
461248,462255,414229,311626,6949633,213195
462256,463263,398650,328969,6275669,218139
463264,464271,443008,357795,7900013,253319
464272,465279,469080,379673,8362022,277403
465280,466287,471486,389318,6649013,274364
466288,467295,412599,337859,4867906,226619
467296,468303,415064,349840,5332835,224742
468304,469311,362825,307216,3905971,189928
469312,470319,306534,258977,2341860,150453
470320,471327,305327,258508,1936387,151054
471328,472335,283854,242501,1569537,139486
472336,473343,289299,246215,1415182,134355
473344,474351,224425,192847,955545,95516
474352,475359,245668,213292,1159443,112207
475360,476367,260977,223169,1006198,119190
476368,477375,237235,203692,1241562,112814
477376,478383,253193,211746,1640867,123960
478384,479391,186993,162613,3522174,102385
479392,480399,313655,267568,11424679,183059
480400,481407,387357,335475,16578342,246108
481408,482415,355088,300366,11668110,203866
